PokerStars Tournament #3911960312, No Limit Hold'em
  516: Rabatz1312 [2] (Austria), 
  517: MaximusLeonidas (Germany), 
  518: laurortencio [2] (Brazil), 
  519: prettyboyyy (Germany), 
  520: jasonaras_1914 (Greece), 
  521: WTLIS (Sweden), 
  522: thccc97 (Brazil), 
  523: hidrovitech (United Kingdom), 
  524: llbllOllyll [2] (Brazil), 
  525: Quintabjj (Brazil), 
  526: Ballcrusher1987 (Switzerland), 
  527: BaraCPH (Denmark), 
  528: 1986pasha (Belarus), 
  529: kovdian [2] (Slovakia), 
  530: llbllOllyll (Brazil), 
  531: Mr.Roanen (Germany), 
  532: fm_strategy (Romania), 
  533: Gibraltarian (United Kingdom), 
  534: Fischkop993 (Germany), 
  535: Mattheusrnto (Brazil), 
  536: MosquitoGG (Brazil), 
  537: jorginho0111 (Brazil), 
  538: fhakyr (Mexico), 
  539: ZackHornberger (Germany), 
  540: lbg2410 (Panama), 
  541: Rabatz1312 (Austria), 
  542: charlypicaro [2] (Mexico), 
  543: SergeySil83 (Belarus), 
  544: alex13561 (Moldova), 
  545: elreyperno (Argentina), 
  546: gregorio254 (Brazil), 
  547: pseudo26 (Canada), 
  548: DuuShimizu (Brazil), 
  549: coracy [2] (Brazil), 
  550: rogerandre23 (Brazil), 
  551: jrodriguez95 (Argentina), 
  552: Sheikh Yerbouti (Sweden), 
  553: William_Gull (United Kingdom), 
  554: AllanEM (Guatemala), 
  555: GuaranaDolly (Brazil), 
  556: Trick'rTreàt (Belgium), 
  557: nyll33 (Brazil), 
  558: kovdian (Slovakia), 
  559: georgiosting (United Kingdom), 
  560: bctn6 (United Kingdom), 
  561: p1ckAnother (Ukraine), 
  562: ilusionshark (Brazil), 
  563: fedevalle (Argentina), 
  564: NeedCashForBMW (Germany), 
  565: sherif_br (Brazil), 
  566: mazzma (Sweden), 
  567: laurortencio (Brazil), 
  568: yDiamond (Brazil), 
  569: Caesarrrrr (Brazil), 
  570: oquesou7 (Brazil), 
  571: rdo_fabris (Brazil), 
  572: chrischris44 (Argentina), 
  573: TheOnlyWinrr (Brazil), 
  574: odiak4 (Greece), 
  575: Ryan_Peste (Brazil), 
  576: T.Figueiredo (Brazil), 
  577: fechaud (Brazil), 
  578: iltakeyrchip (Ireland), 
  579: b00552805 (Canada), 
  580: babarolad [2] (Belgium), 
  581: babarolad (Belgium), 
  582: Mitzuss (Sweden), 
  583: coracy (Brazil), 
  584: Devrim_1979@M [2] (Switzerland), 
  585: kashaed3 (Belarus), 
  586: AamiUa (Ukraine), 
  587: Devrim_1979@M (Switzerland), 
  588: BKA83 (Germany), 
  589: charlypicaro (Mexico), 

You finished in 145th place (eliminated at hand #257086451681).


